# lang=de
frei	free; unenslaved; unimprisoned
frei	free; unrestricted; more negative also: unrestrained; licentious
frei	unblocked; free for passage
gratis	free, without charge
umsonst	free of charge, gratis
umsonst	in vain, without success
umsonst	for nothing; for the sake of doing it (without expecting reply)
raven	to rave
April	April
September	September
November	November
synonym	synonymous
ab-	off, away.
ab-	down.
ab-	from or of.
ab	beginning at that time or location; from
ab	off, detached
abaxial	abaxial
abdominal	abdominal
aberrant	aberrant
aboral	aboral
nu	yes; yeah
absent	absent, not present
absent	absent-minded
abstinent	abstinent, teetotal
plural	pluralistic
Haus	house
Haus	theatre
in	in, inside, within, at (inside a building)
in	in, at, by (at the end of or during a period of time)
orange	orange
German	germane
pseudo-	pseudo-
Dezember	December
man	one, you, they
man	just; only
dick	thick
dick	swollen
flatulent	flatulent
NASA	NASA ()
Esperanto	Esperanto
hell	clear, bright, light
hell	quick, clever
hell	great
war	: was
Israel	Israel, another name of the patriarch Jacob
urban	urban
Aborigine	an Aboriginal Australian
Aborigine	Aborigine, Aboriginal Australian (female)
Uhr	hours, o'clock
Uhr	clock, watch
Uhr	meter; gauge
global	global
also	so, therefore
also	then, thus, so, hence
SMS	SMS (text message)
SMS	SMS &mdash; Seiner Majestät Schiff
digital	digital
um	about
um	around
um	at, by
pseudonym	pseudonymous
pseudonym	pseudonymously, in a pseudonymous manner
absurd	absurd
abundant	abundant
Jupiter	Jupiter
Schadenfreude	malicious enjoyment derived from observing someone else's misfortune; schadenfreude; gloating
after	after
mental	mental
beige	beige
pink	coloured in a strong shade of pink
Chinese	A Chinese person, particularly a Han Chinese person
Chinese	Chinese restaurant
parallel	parallel
parallel	serving the same purpose, leading to the same result
polygonal	polygonal
rational	rational
irrational	irrational
at	at, at-sign
at	Symbol for , a non-SI unit of pressure used until 1978.
an	on, upon, at, in, against
an	by, near, close to, next to
an	on; in; at
Samstag	Saturday
Volapük	Volapük
her	hither, to this place, to here, to me/us
her	along, on this way
all	every
was	which
was	that, which
nicht	not, non-
nicht	right?; is it?; is it not?
rite	strictly in accordance with the rules
warm	warm; mildly hot
warm	warm; keeping the wearer warm
warm	including heating costs, water, and fees (electricity may or may not be included)
cool	(in its informal senses)
cool	cool, calm, easy-going
anterior	anterior
Afrikaans	Afrikaans
khaki	khaki (color)
egg	&nbsp
bei	by, near
bei	for, at, in
ans	an + das, on(to) the, to the
NT	Neues Testament (NT; New Testament)
NS	; Nazi
BS	Bausoldat
so	, such, that
so	as (followed by an adjective or adverb plus in a statement of equality)
so	thus, like this/that, in this/that way, in this/that manner
listen	to list
TN	, now .
safe	definitely, absolutely, sure
oral	mouth; oral
pedant	; pedantic; punctilious; meticulous
he	; hey
he	; huh
molar	molar
servus	hello, hi
servus	goodbye, bye, farewell
servus	cheers
lose	loose, slack
regnen	to rain
sehen	to see; to have sight
sehen	to see (something); to perceive by vision
sehen	to see
ia	hee-haw
transgender	transgender
liberal	liberal; permissive; allowing personal freedoms
liberal	libertarian; liberal in the traditional sense
down	, depressed
down	, not online
down	, defeated, without health left
human	humane
hier	here; in this place
hier	there; right there; in that place
er	it (when the grammatical gender of the object/article/thing/animal etc., being referred to, is masculine ())
er	she (when the grammatical gender of the noun being referred to and designating a female person, is masculine ())
Muslim	Muslim
Islam	Islam
befallen	to affect
befallen	to seize
befallen	to infest
bitten	to ask, to beg, to plead, to bid, to request
bitten	to ask, to invite
broke	broke
fallen	to fall; to drop
fallen	to die; to fall in battle; to die in battle; to be killed in action
fallen	to fall, to collapse, to be overthrown.
blond	blond; fair
blond	bright; not brown or yeasty
blond	stupid; naive
fit	able, prepared, up to a task
hold	affectionate, devoted, faithful, loyal
hold	gracious, graceful, comely, dainty
lost	clueless, confused; lost; vain
mal	times
mal	well, by the way
ideal	ideal
straight	Of a work of art: played straight, not daring to break conventions.
