# lang=ro
cat	floor (storey)
gratis	free of charge, for free
gratis	free of charge, for free
gratuit	free, without payment
gratuit	useless
gratuit	baseless, unfounded
august	August
august	; majestic; venerable
dialect	language socially subordinate to a regional or national standard language, often historically cognate to the standard, but not a variety of it or in any other sense derived from it
abandon	abandonment
abandon	renouncement
abate	to stray , derogate, deviate, divert from, digress
abate	to change paths, swerve from, wander from
abate	to stop
abator	abattoir
abator	massacre
abator	slaughterhouse staff
abdomen	, belly
abductor	abductive
abrupt	extremely steep, near vertical
calendar	almanac
absolvent	graduate
accept	acceptance
acceptor	accepting
de	if only
color	/ colour
van	futile
te	yourself
dat	given
o	: a/an
acid	, acidic
meat	meatus
sun	sound
metric	metrical
cum	as, since, seeing that
mandat	mandate
port	(town with port)
bot	snout, mouth
bot	mouth
libero	sweeper
ten	color of the face
crap	; European carp, common carp
secret	, hidden
urban	urbane
aflare	discovery, find
but	thigh of an animal
acacia	shrubs or trees of the genus
SMS	; text message
ci	but; so that; on the contrary, opposite
mi	, the note 'E'.
indice	index
vi	to you
amar	bitter, rancid
amar	bitter, rude
accelerator	accelerative
accent	emphasis
smiley	(representation of a smiling face)
smiley	emoticon, (characters that represent an emotion)
yeti	, abominable snowman
DNA	Direcția Națională Anticorupție.
drug	pole, stick
dare	giving
banana	(banana (fruit))
green	putting green
violet	purple
violet	purple
cast	chaste, clean, pure
mouse	(for a PC)
latin	Latin
of	ugh, tsk, sigh
or	(they) might
or	Variation of in the third person plural.
sol	the lowest part of something; bottom, ground, base, foundation, bed
sol	the floor or pavement of a room
sol	ground, earth, land, soil
animal	, animalistic
animal	brutal
animal	brutally
for	forum
yak	(bovine mammal)
adjunct	deputy
pom	fruit tree
arm	an animal's haunch, or a thigh on a person
adamant	diamond
facere	(the action of) doing, making, creating
facere	birth, childbirth, creation
car	chariot
car	tank (military vehicle)
xerox	photocopier
habitual	usual
anterior	previous
pupa	to kiss
pupa	to match, to coincide, make for a good fit
pupa	to obtain or stay in possession of something desired
coral	choral
calculator	computer
civil	civilian
minister	ministry
fascist	(supporting the principles of fascism)
carne	meat (of an animal)
carne	flesh (of a human)
carne	pulp (of a fruit)
om	human
om	(we) might
marina	to marinate
replica	to replicate
ai	garlic
alo	hello (when answering the telephone)
proverb	saying, , maxim
apod	apode
bai	trouble
ban	money; coin
ban	(unit of currency, one hundredth of a leu)
beat	drunk, drunken, intoxicated; tipsy
IA	AI (artificial intelligence)
benzol	benzene
vers	verse
vers	lyric
vert	price
jargon	, slang
pedant	pedantic
capital	, important
hair	share
face	to do, act
face	to make
face	to cause someone to do something
perfect	, flawless
perfect	perfectly, completely
perfect	perfect tense
servus	hi, hello
servus	see you (later)
chamois	leather
estonian	Estonian
estonian	an Estonian man
do	(musical note)
ia	used to attract attention to the speaker; well, now, now then
bulan	good luck
mapa	to map
rata	to miss, to fail
unit	united
macadam	(surface of a road)
palm	palm tree
vapor	boat, ship
hier	the name of the "h" in the Cyrillic alphabet
cling	clink
fire	essence, substance, nature
fire	character, temper, disposition
get	Get, one of the Getae, Greek name for the Dacian people
hit	(a success, especially in the entertainment industry)
pula	fucking
pula	bullshit! (expression of disbelief)
rod	fruit
rod	fruit
mal	shore
mal	riverbank
canal	channel
conductor	driver
legal	, lawful
criminal	, felon, perpetrator, offender, lawbreaker
criminal	murderer, slayer
criminal	cutthroat, thug
factor	postal worker, postman, mailman
exterior	external, outer
central	central, pivotal, nodal
comic	comical
ducat	dukedom, duchy
sin	son of
chin	torture, pain
body	bodysuit
bridge	bridge
bridge	a game of bridge
pled	blanket
rid	wrinkle, furrow, crease, line (on face)
sold	balance
matelot	sailor
arid	barren
carp	carpus
sit	picturesque landscape
sit	site of a city
