# word	pos
# Hebrew seed
ה	det
זה	det
זאת	det
שלי	det
שלך	det
שלו	det
שלה	det
כלב	noun
חתול	noun
בית	noun
מכונית	noun
ספר	noun
מים	noun
עץ	noun
איש	noun
אישה	noun
ילד	noun
ילדה	noun
יום	noun
שנה	noun
זמן	noun
עולם	noun
חיים	noun
יד	noun
עין	noun
אוכל	noun
עבודה	noun
עיר	noun
מקום	noun
אנשים	noun
דבר	noun
דרך	noun
רעיון	noun
גדול	adj
קטן	adj
חדש	adj
ישן	adj
טוב	adj
רע	adj
גבוה	adj
נמוך	adj
ארוך	adj
קצר	adj
חם	adj
קר	adj
אדום	adj
כחול	adj
ירוק	adj
שחור	adj
לבן	adj
כבד	adj
קל	adj
מהיר	adj
איטי	adj
חזק	adj
חלש	adj
יפה	adj
מכוער	adj
שמח	adj
עצוב	adj
צעיר	adj
עתיק	adj
ללכת	verb
לבוא	verb
לראות	verb
לדעת	verb
לרצות	verb
לעשות	verb
לקחת	verb
לתת	verb
למצוא	verb
לרוץ	verb
לאכול	verb
לשתות	verb
לישון	verb
לקרוא	verb
לכתוב	verb
לדבר	verb
לשמוע	verb
לחשוב	verb
מהר	adv
לאט	adv
מאוד	adv
עכשיו	adv
אז	adv
פה	adv
שם	adv
תמיד	adv
לעולם	adv
לעיתים	adv
ב	prep
על	prep
אל	prep
מ	prep
עם	prep
ל	prep
של	prep
לפני	prep
אחרי	prep
