# lang=pt
livre	unoccupied
livre	clear, open
abassi	abbasi
abate	slaughter
abater	to collapse
abater	to topple
abater	to slaughter
abdominal	sit-up
raptor	abductor; kidnapper
raptor	bird of prey
raptor	abductive
nu	naked, nude
absolver	to absolve
absolver	to acquit
absolver	to forgive
alien	; extraterrestrial life form
pez	pitch
de	of; -en
color	/ colour
color	ornament
te	you (singular)
in	found in the given reference
in	in fashion
numeral	, numeric
crude	crude oil
BCE	ECB, European Central Bank
point	a location where members of a group usually meet
os	; them
perro	stiff
perro	stubborn
tesauro	thesaurus
peso	weight
peso	heaviness
estar	to be
singular	(being the only one of a kind)
singular	(referring to only one thing)
singular	(form of a word that refers to only one thing)
reality	reality show
andante	who roams, wanders
andante	roamer
guerra	war; warfare
country	country music
fiscal	, inspector
meeting	conference
meeting	, gathering
mundial	global
mundial	world cup
global	working, having worked, or with potential to work, with (Brazilian television network)
menos	except; but
menos	minus
add	to in certain internet services
SMS	; text message
digital	; having to do with the fingers or toes
digital	dealing with discrete values rather than a continuous spectrum of values
digital	dealing with the display of numerical values
um	a, an
um	the figure or digit "1": one
time	a team
time	a corporate team
time	sexual orientation
mi	(musical note)
país	country; nation
país	country; land
software	a piece of ; program
amigo	friend
amigo	a state with good relations with another state
amar	to love, to have great affection for
amar	to have the ability to love, to feel love
guarda-chuva	umbrella
sombrinha	parasol
sombrinha	umbrella
CDC	content creator
night	nightlife
Schadenfreude	schadenfreude
yes	; yeah
presidente	president
presidente	chairman
close	close-up
close	attitude
after	after-party
after	late-night bar
dar	to give
dar	to yield; to produce; to generate
dar	to be possible, can
banana	penis
tigre	tiger
tempo	a duration of time, especially a long one
mouse	pointer; cursor
pi	bleep
jack	rapist
sol	sun; sunlight, sunshine
humor	humour; bodily fluid
humor	humour
animal	brute
animal	cool; awesome
el	: the
zebra	A victorious competitor initially thought unlikely to win, especially in sports; an underdog
zebra	an unexpected result in a competition
alpaca	nickel silver
transcultural	(that involves different cultures; relating to different cultures)
abandonar	to abandon
abandonar	to give up
abandonar	to let oneself be controlled by; to put oneself in the hands of; to indulge in
abandono	abandonment
abandono	the state of abandonment
boy	office boy
boy	boyfriend
boy	a young, upper-class man
case	a phone
case	a marketing case study
irregular	; nonstandard
regular	average
regular	to regulate
gringo	a foreigner, especially one from the Global North and especially one from the United States
gringo	someone of (more commonly) Italian or (more rarely) European descent.
gringo	foreign
as	them (as a direct object; the corresponding indirect object is lhes; the form used after prepositions is elas)
mundo	world
mundo	world; humanity
xerox	photocopy
xerox	photocopier; copier
xerox	a shop where photocopying and related services are offered
cachaça	any alcoholic beverage, especially a distilled spirit; booze; grog
habitat	place where an individual or group believes is ideal in and often frequents
anterior	previous, preceding
chocolate	candy
tutu	money
bronze	skin tan
coral	choir
coral	choral song
coral	chorale
pen	pen drive, flash drive
civil	; civilian
civil	civic
civil	relating to civil law
carne	flesh
carne	pulp; flesh (edible part of fruit/vegetable)
salsa	parsley
sequoia	; redwood
al	everything, the rest
al	other, another
adelo	thrift shop
adelo	a secondhand dealer
alegria	joy, happiness
alegria	party; fun
barato	cheap; inexpensive
barato	cheap; worthless
bosque	grove
bosque	woods
gripe	the flu, influenza
grito	cry; shout; scream
grito	screaming; shouting; din
grupo	group
voz	voice (all senses)
voz	speech
ventana	window
ventana	handheld fan
ventana	snooker pocket
MC	a Brazilian funk singer
touch	being touch screen
remember	The act of having sex with one's ex.
IA	AI (artificial intelligence)
VT	a short recorded video, especially one shown on the TV as part of a larger show
acre	sharp
acre	English or American
Distrito Federal	Federal District (an administrative division of ); located in the Center West Region and containing the country's capital Brasilia
São Paulo	Paul the Apostle, Paul of Tarsus, Saint Paul
Espírito Santo	Holy Ghost; Holy Spirit
Santa Catarina	Catherine of Alexandria, Saint Catherine
save	save file
ver	to see; to observe
ver	to see
ver	to see; to understand
oral	an exam
look	; outfit, style
granada	hand grenade
granada	shell
granada	garnet
burro	donkey
burro	idiot, dunce
burro	sawhorse
capital	; capital city
me	; (to)
me	; myself
handicap	, disadvantage
handicap	advantage
face	the cheek
mariposa	a butterfly
mariposa	butterfly stroke
mariposa	a moth
pico	peak, summit, top
pico	a high mountain that ends in a peak
pico	top, apogee, acme
pizza	sweat visible in the clothes, specially under armpits
magia	magic
loco	lochos
juramento	an oath
juiz	judge
juiz	referee
juiz	referee, umpire
juramentado	sworn
carpe diem	seize the day
matador	which kills
matador	seductive
matador	killer
azeite, vinho e amigo, o mais antigo	of oil, wine and a friend the oldest is always the best
elegantemente	elegantly
pato	drake
pato	a naive person
pata	paw, foot, leg (of an animal)
pata	human leg, foot, footprint (often used by an angry person)
pata	: female duck
pela boca morre o peixe	what you say can do you harm; silence is golden; loose lips sink ships
torta	pie, tart
torta	Swiss roll
zoom	zoom lens
natal	native
chat	chat room
saia	a woman's skirt
teléfono	telephone
luz	light
luz	light; light source
luz	light; enlightenment
mapa	an environment where a game is played
rata	vagina
rato	mouse
rapidamente	rapidly, quickly
nada	nothing
nada	to no extent; in no way; not at all
negociante	shopkeeper
negociante	businessman
negociante	negotiator
liberal	, generous, tolerant
mama	breast, bosom
mama	udder, teat
vocal	vocalist
maid	, especially in reference to Japanese fiction or in reference to the French maid outfit
vapor	/ vapour
bet	a sport betting website or app
fórmula química	molecular formula
pula	white person
make	makeup
mal	badly
mal	hardly; barely
mal	wrong
canal	ditch
canal	channel
legal	cool, nice, good
funeral	; funerary
funeral	; gloomy
interior	inner
interior	; inside
interior	country; countryside
exterior	foreign
exterior	outwith; not encompassed by; not related to or covered by
central	central
central	centre
central	headquarters
ideal	notional
et cetera	; and so on
bug	anything causing unusual behaviour
claque	supporters
claque	opera hat
verbal	, oral
boot	sneaker
bag	delivery
body	bodysuit, leotard
chance	probability
chance	, opportunity
cruel	; harsh; severe
cruel	distressful
bridge	bridge
espanhol	Spanish
espanhol	Spaniard
set	(group of things in maths, tennis, cinema, etc.)
show	an act or performance that demonstrates high skill; spectacle; display; feat
show	the action of crying or yelling out loud in order to protest or complain about something, often in the context of a discussion or argument
spread	difference between the interest rate a bank charges to a client and the interest rate it pays
swing	swinging
woke	a social justice warrior; a wokie
limo	mud, slime, silt
limo	seaweed, wack
shape	build, physique
round	a stage of a dispute, confrontation or other difficult endeavour
cotton	cotton blend
box	stall (for a horse)
box	electronic equipment used for internet access (component of the digital subscriber line technology)
box	shower stall; area of a bathroom, separated by a curtain or panes, where the shower is located
base	basis
cover	cover version
cover	impersonator
control	control key
vero	true, real, genuine
flat	, apartment
piano	, soft
piano	, slowly
rumor	rumour
rumor	continuous noise
rim	kidney
rim	small of the back
rim	A type of pastry shaped like a kidney.
ir	to go
ir	will; to be going to
ir	to keep on; to go on; ~ on
short	shorts
plasma	plasma TV
house	house music
metal	money; wealth; riches
sugar	to suck
sugar	relating to sugar dating; of a relationship, involving a partner who spends money on a often younger partner
live	video stream
full	completely, absolutely, fully, super
volume	; loudness
meter	to put in; to insert into
meter	to put
meter	to meddle, interfere
sal	bath salt
e	what about
mana	: sister
tanto	so much
tanto	so much / so many
chan	, imageboard
u	where
de facto	truly
de facto	indeed
de facto	in fact
stop	a game in which the players write on paper one word from each category (animal, fruit, etc.), all beginning with the same letter, as quickly as possible. In Spanish
stop	stop loss order
celestial	heavenly
manga	sleeve
manga	mango
CEO	; chief executive officer
sábado	Saturday
sábado	Sabbath, sabbath
sábado	on a Saturday
gourmet	; fine
outlet	store
agora	now; right now
agora	now; any more
agora	just now
domingo	Sunday
domingo	on a Sunday
drag	drag queen, drag king
han	Han Chinese
latino	Latin
latino	Romance
ile	they, them .
game	electronic game
video game	video game console
andebol	handball
gratuito	free, free of charge, gratis
gratuito	unjustified, unwarranted, gratuitous, uncalled for
Highlander	someone who survives or perseveres against all odds
nuance	gradation of colour
ç	"c cedilha" (the letter c with a cedilla)
uno	only; singular
uno	indivisible
sei	yeah, right
onze	eleven
quinze	fifteen
zero à esquerda	a good-for-nothing (a person of low worth or usefulness or a person who is incompetent or ignorant in a particular area or task)
dois	second
flor	flower
flor	a delicate, feminine woman or girl
flor	surface
música	music
música	: female musician
livro	omasum
cor	colour , color
cor	complexion
cor	heart
beta	(all senses)
beta	beet (plant)
contigo	with you (singular)
natural	native of, from
natural	room-temperature
lunar	mole, birthmark
MP3	MP3 player
talo	stem, shaft
casa	house
casa	a cell which may be occupied by a piece (such as a square in a chessboard)
nick	; nickname
osso	bone (material)
osso	a difficulty
bicicleta	bicycle
bicicleta	bicycle kick
bici	: bike
pesca	fishing
pesca	catch
uva	grape
uva	grape bunch
uva	a good-looking thing or person
café	coffee
café	coffee bean
hm	what?
dar à luz	to give birth
cesta	basket
em	in; inside; within
em	on; on top of
em	in; at
jamais	never
buggy	dune buggy
PC	, a male given name.
si	oneself, yourself, himself, herself, itself, yourselves, themselves
ar	look, air (aspect)
ca	for, because
ação	action
ação	lawsuit
ação	share (stocks and bonds)
universal	universe
universal	common to all society; ; world-wide
universal	common to all members of a group or class
escudo	shield
shekel	sheqel
terminal	of or occurring during the conclusion or end of something
viajar	to travel
viajar	to not pay attention
viajar	to be nonsensical (vid. )
NW	northwest
pint	, an English or American
eu	first-person singular prepositional pronoun; me
eu	ego; self
dezanove	nineteen
democracia	democracy
tri	cool, nice, good, interesting
tu	you; thou
tu	second-person singular prepositional pronoun
pálpebra	eyelid
coala	koala
lhama	llama
baba	drool, dribble, slobber
baba	Cowper's fluid; pre-ejaculate
real	true
real	that has physical existence
real	being a member of the set of real numbers
em linha	online
laurel	reward, prize
laurel	homage
slogan	any type of motto
acusar	to accuse
acusado	accused
ele	; he; it
ele	; him; it
ele	; he; him; it
toro	tree ring
toro	torus (three dimensional shape)
mega	very, super (intensifier)
micro	: mic
multicolor	multicoloured; multicolour
acostumar	to accustom
acostumar	to get used to
net	Net; the Internet
net	Internet connection
acerbar	to exacerbate; to aggravate
amargura	bitterness
amargura	sorrow
amargura	unpleasantness
à	forms adverbs meaning "in a manner related or resembling"
banal	hackneyed
acreditar	to believe
acreditar	to believe, to think
a céu aberto	open-air; outdoor
a céu aberto	outdoors
testa	forehead
acetileno	acetylene
venal	, venous
venal	related to sales, commercial
venal	easily bribable, capable of selling oneself; corrupt
matrix	Matrix
gear	to frost (weather)
negro	black
negro	black in colour
tomate	tomato
tomate	a blushed face
tomate	ball (testicle; compare )
madeira	a piece of timber
Nassau	any member of the
pisa	beat-up; beating
flood	a of superfluous text messages
cola	glue, paste
cola	adhesive
nuclear	; central
coelho	rabbit
ovelha	a female sheep; a ewe
destino	destiny, fate
destino	destination
tau	tauon
chi	bear hug
Tanach	Tanakh
nem mesmo	not even, not ... at least
nem	not even
nem	do not even
nem	neither … nor
tie	pibling
forte	strength , strong suit
forte	fortress
forte	capable of producing great force; strong; forceful
yotta-	(prefix of the International System of Units, with the symbol Y, which is equivalent to multiplying the unit affected by it by 1024)
in-	un-; not
im-	, used before and .
ir-	, used before .
underline	underscore
zabaione	zabaglione, sabayon
varna	, the four original castes of traditional Hindu society.
nynorsk	Nynorsk
estado	state
estado	status, condition, standing
ido	Ido (artificial language reformed from Esperanto)
ser	to be , especially a quality that is intrinsic or not expected to change, contrasting with which denotes a temporary quality
ser	to be
cerebral	brain, cerebral cortex
tuna	a college musical group, wearing traditional academic clothes
penumbra	situation of low light
panda	a vessel for liquids
soltar	to release, to let go
cobra	snake; serpent
cobra	viper
liar	to tie
liar	to connect, to link
ordenador	which sorts data
ordenador	sorter
computador	computing
computador	computer
atlas	(collection of maps)
atlas	(topmost vertebra)
demo	devil; demon
demo	of limited functionality
major	brown-chested martin ()
drama	, big deal, fuss, scene
propaganda	advertisement, commercial
random	; aleatory
random	rando
papa	baby food
acá	hither
formoso	beautiful
pope	(a Russian Orthodox priest)
saber	to know
saber	to know; to have heard
saber	to taste of/like
magazine	department store
agasalhar	to cover with a coat, jacket or a blanket; to wrap up
mote	motto
agasalho	warm clothing, winter clothing (coat, jacket, sweater etc.)
peculiar	; unusual; strange
arrogante	arrogant
kitsch	; kitschy
Jesus	Christ
Jesus	, shortened from " de Jesus"
sumo	highest, greatest
sumo	summit, top
sumo	juice
primavera	spring
secreto	secret
secreto	Succulent cut of pork meat taken from the muscle inside the fatty pork belly.
RPG	roleplaying game
harmonia	harmony; agreement; accord
harmonia	harmony (pleasing arrangement of sounds)
italiano	Italian
timbre	crest
local	premises, rooms
mango	handle
mango	penis
mango	A historical unit of currency used in Brazil, originally equivalent to 1000 (milreis) or 1 cruzeiro.
curry	curry powder
nebulosa	a nebula
porto	port; harbour
porto	haven
ursa	: she-bear
torso	twisted, crooked
homo	homosexual
trailer	caravan
vendo	Wendish
via	a way; a path
via	gauge
via	medium
vinco	crease
vir	to come
vir	to come; to arrive
vespa	motor scooter
lupa	magnifying glass
lupa	stereomicroscope
alce	elk , moose
hecatombe	hecatomb
hecatombe	slaughter, bloodbath
hecatombe	disaster, catastrophe, calamity
lanterna	flashlight (battery-powered hand-held lightsource)
lanterna	lantern (case of transparent material made to protect a flame, or light)
lanterna	headlight (light in front of a vehicle)
lento	soft; not firm
lento	wet, humid, moistened
libra	English or American pound
libra	pound
libra	, Portuguese pound
serra	chain
anal	annal
anal	annual, yearly
zona	area, region
top	cool, awesome
top	, excellent, high-quality
mano	brother, male sibling
mano	bro, homie
mano	dude, bro, man
placebo	refers to the effect or reaction of an individual or group to whom a placebo was given
czarina	tsarina
rude	; bad-mannered
pugna	combat; battle; fight
pugna	struggle
nerd	nerdy
job	a gig
final	, ultimate, last
corporal	, carnal
auto	a public deed or ceremony
auto	(a sub-genre of dramatic literature)
auto	act; deed
falar	to speak; to talk
falar	to communicate by any means
falar	to say something
beber	to drink (something)
beber	to consume alcoholic beverages
beber	to drink something
auto-	self-
fender	to split, cleave, rip
fender	to crack
fender	to separate
fuga	escape, flight
fuga	evasion
arma	weapon
lagarto	wall lizard
lagarto	any lizard
lagarto	lizardfish
fenestra	window
topo	collision
cabra	she-goat; nanny goat
cabra	bitch
cabra	guy, dude
chupar	to suck
chupar	to suck off, to blow
tom	tone; pitch
tender	to tend
tender	to trend
mexicano	Mexican
estudar	to study
ela	she; it
ela	she; it; her
eles	; they; them
elas	; they; them; it
você	; you
você	; you, one
vós	you, ye
vós	you, thou
rego	ditch
rego	furrow
rego	crack
nós	first-person plural objective personal pronoun; us
canvas	business model canvas
verme	parasite
cantar	to sing
cantar	to sing, to say musically
cantar	to say with rhythm, chant
comprar	to buy
comer	to eat
comer	to capture
comer	to corrode; to eat away, to destroy
dormir	to sleep; to be asleep
dormir	to fall asleep
dormir	to have a given type of sleep
cansado	sleepy, tired
cansado	fed up, irritated, annoyed, frustrated, disappointed
correr	to run
correr	to run away; to flee
correr	to speed
chegar	to arrive (at); to reach
chegar	to arrive
chegar	to reach
caber	to fit
caber	to traverse, pass through or across
caber	to hold; to be capable of containing
token	, an atomic piece of data
dizer	to say
dizer	to discern; to tell, to distinguish
dizer	to mean
fazer	to make
fazer	to play; to pretend to be
fazer	to turn; to reach an age; to have a birthday
ler	to read
ouvir	to hear
ouvir	to pay attention to
ouvir	to take into account, take into consideration
portal	, doorway, gateway
pero	a variety of apple, the fruit of the pereiro
pero	a small variety of pear
pero	a punch
partir	to split
partir	to split; to break apart
partir	to depart; to leave; to go away
pedir	to ask for; to request
pedir	to order
pedir	to ask for; to invite
polir	to polish; to shine; to make a surface very smooth or shiny by rubbing, cleaning, or grinding (often polish up)
polir	to refine; remove imperfections
querer	to want; to wish; to desire
querer	to want
querer	to want to
ter	to have
ter	there be
trazer	bring (to transport toward somebody/somewhere)
viver	to live; to have life
viver	to live, reside
viver	to keep, continue for a long period of time
vender	to sell
esse	that, that one
corda	rope, string
corda	winding mechanism
corda	cord, heartstring
pluma	plume
pluma	upwelling of molten material from the Earth's mantle
ladro	thief
largo	square (open space in a town)
largo	high seas (parts of the ocean surface that are far from shore)
largo	wide; broad
latte	caffè latte
trap	(a transvestite or trans woman)
trap	(music)
bom	well, very well
fait accompli	; done deal
maior	; bigger, larger
maior	; biggest, largest
maior	major, greater
natura	nature
dom	donation; gift; present
dom	benefit; merit; advantage; power; privilege
dom	blessing; grace; mercy
som	sound
som	music
som	an audio device, such as a stereo
bacalhau	handshake
bacalhau	vagina
soul	soul music
santo	holy, sacred
santo	pure, immaculate, undefiled
santo	someone who has been formally canonised by the Catholic Church
Santa	: Saint, St.
Semana Santa	Holy Week
mongol	Mongolian (native or inhabitant of Mongolia)
mongol	Mongolian (language)
mongol	retard; idiot
nalga	buttock
abolir	to abolish
africano	African
gris	grey / gray
pera	a knuckle sandwich
pera	goatee
grisar	to make gray
grisar	to turn gray
elefante	elephant
elefante	landwhale
famoso	famous
famoso	very good; excellent
famoso	celebrity, famous person
biblioteca	library
movimento	movement (physical motion)
movimento	the flow of people or vehicles in a location
movimento	movement (group of people with a common ideology who try together to achieve certain general goals)
moderno	modern (pertaining to the current time and style)
sono	sleep
sono	sleepiness
oca	a Native American hut, especially one made from plant material such as bamboo, tree trunks, straw and palm leaves
oca	cavity
-er	forms the infinitive of the second-conjugation verbs
bacio	chamber pot
bacio	toilet
raro	exceptional; extraordinary
raro	sparse
remo	rowing
ritmo	rhythm
tapioca	crepe made with tapioca, served with various fillings, often meat or cheese
haste	stem, stalk
materialismo	materialism
agenda	schedule
agenda	planner
presto	quick; swift; prompt
presto	ready; prepared
presto	immediately; promptly
ilha	island
ilha	a group of houses in a poor area of a town
ilha	a person who stands alone in defense of an idea
janeiro	January
fio	thread
fio	string
fio	trickle
superficial	; shallow
superficial	shallow
observatório	observatory
fevereiro	February
março	March
pelúcia	plush, a soft tissue, made of wool or silk, faux fur
