# lang=ar
حلال	حَرَام
أنثى	male
أنثى	ذَكَر
عربي	أَعْجَمِيّ
عربي	عَجَمِيّ
حقيقة	بَاطِل
حقيقة	كَذِب
حقيقة	كَذْبَة
هدوء	جاش
هدوء	قَلَق مصدر
هدوء	اِضْطِراب
حركة	سُكُون
حركة	سَكْنَة
شمال	يَمِين
سهل	صَعْب
جيد	رَدِيء
وسخ	طَاهِر
وسخ	نَظِيف
وسخ	نَقِيّ
على	لِـ
عرب	عَجَم
لا	نَعَم
لا	لِـ
سر	عَلَن
حق	بَاطِل
حسنة	سَيِّئَة
قبل	رَفَضَ
خبر	إِنْشَاء
ثابت	مُتَغَيِّر
حرام	حَلَال
أطاع	عَصَى
بدون	مَعَ
بدون	بِـ
قبض	بَسَطَ
متن	شَرْح
عزيز	ذَلِيل
أمر	نَهَى
قبيل	بُعَيْدَ
جمع	فَرَّقَ
وجد	عُدِمَ
اختلاف	إِجْمَاع
رجا	يَئِسَ
بنى	هَدَمَ
محظوظ	سَيِّئ الْحَظّ
قوي	ضَعُفَ
شكر	جُحُود
أسر	جَهَرَ
بلا	بِـ
بلا	مَعَ
شر	خَيْر
رفق	عُنْف
رفق	شِدَّة
رفق	قَسْوَة
أحمر	أَسْوَد
تجمع	تَفَرَّقَ
الفصحى	الْعَامِّيَّة
الفصحى	الدَّارِجَة
الفصحى	لَهْجَة
حب	بَغْضَاء
حب	كُرْه
حب	بُغْض
أصل	فَرْع
ساكن	مُتَحَرِّك
جسيم	جُسَيْم مُضَادّ
صعب	سَهْل
طيب	خَبِيث
وافق	خَالَفَ
ضعيف	قَوِيّ
فرق	جَمَعَ
يسير	عَسِيرٌ
عادل	ظَالِم
فائدة	مَضَرَّة
فائدة	ضَرَر
موافق	مُخَالِف
ليبرالي	مُحَافِظ
معرفة	نَكِرَة
قريب	بَعِيد
حزن	فَرِحَ
أعار	اِسْتَعَارَ
رضي	سَخِطَ
زاد	نَقَصَ
عظيم	حَقِير
عظيم	هَيِّن
لو	لَوْلَا
مرض	عَافِيَة
مرض	صِحَّة
جاهل	عَالِم
صدق	كَذَبَ
بعيد	قُبَيْلَ
ظاهر	بَاطِن
عجم	عَرَب
احترم	اِنْتَهَكَ
أبد	أَزَل
حديث	قَدِيم
حضر	غَابَ
لأن	لِئَلَّا
سابق	لَاحِق
سابق	تَالِي
أصلح	أَفْسَد
يسار	يَمِين
قليل	كَثِير
كفر	آمَنَ
كفر	شَكَرَ
عذب	مِلْح
تكبر	تَوَاضَعَ
إعراب	إِعْجَام
إعراب	بِنَاء
خير	شَرّ
واسع	ضَيِّق
ضيق	وَاسِع
ضيق	وَسِيع
ضيق	رَحْب
صحيح	بَاطِل
إعجام	إِعْرَاب
ثقل	خَفَّ
جهل	عَلِمَ
والدة	وَالِد
والدة	أَب
إخفاء	إِظْهَار
إظهار	إِخْفَاء
بقاء	زَوَال
بقاء	فَنَاء
ترهيب	تَرْغِيب
سكون	حَرَكَة
جوع	شِبَع
سفلي	عُلْوِيّ
سفلي	عَلَوِيّ
سفلي	فَوْقَانِيّ
نجح	رَسَبَ
نجح	فَشِلَ
نجح	أَخْفَقَ
نقص	زَادَ
عدم	وُجِدَ
مد	قَصَرَ
كذب	صَدَقَ
سوف	لَنْ
أيسر	أَيْمَن
بسط	قَبَضَ
جهر	أَسَرَّ
داخلية	exterior
داخلية	خَارِجِيَّة
خارجية	interior
خارجية	دَاخِلِيَّة
مظلم	مُنِير
مظلم	مُضِيء
أصاب	أَخْطَأَ
نافع	ضَارّ
نافع	مُضِرّ
أطلق	قَيَّدَ
خسر	فَازَ
خسر	كَسَبَ
خسر	رَبِحَ
خالف	وَافَقَ
أظلم	أَضَاءَ
ناعم	خَشِن
أضاء	أَظْلَمَ
أساء	أَحْسَنَ
جحيم	نَعِيم
أرشد	أَضَلَّ
أرشد	ضَلَّلَ
رديء	جَيِّد
لين	صُلْب
باطن	ظَاهِر
متأخر	بَاكُور
متأخر	مُبَكِّر
متأخر	بَكِير
متأخر	بَكُور
متأخر	مُتَقَدِّم
مضيء	مُظْلِم
إجماع	اِخْتِلَاف
سيئة	حَسَنَة
فضيلة	رَذِيلَة
أفسد	أَصْلَحَ
أدكن	فَاتِح
خف	ثَقُلَ
واقعي	خَيَالِيّ
أزل	أَبَد
يقين	شَكّ
يقين	شُبْهَة
يقين	رَيْب
خطأ	صَوَاب
سلف	خَلَف
معروف	مُنْكَر
مورد	مَصْدَرٌ
لاحق	سَابِق
موجود	مَعْدُوم
مستحب	مَكْرُوه
معدوم	مَوْجُود
دبلجة	سَتْرَجَة
ثواب	punishment
ثواب	عِقَاب
هزيمة	victory
هزيمة	اِنْتِصَار
هزيمة	victory
هزيمة	نَصْر
استعار	أَعَارَ
تعادل	تَغَايَرَ
تعادل	تَفَاوَتَ
دثر	ثَمَد
دثر	وَشَل
أتاح	عَسَّرَ
أتاح	ضَيَّقَ
أتاح	صَعَّبَ
تعالم	تَجَاهَلَ
نعيم	جَحِيم
نعيم	عَذَاب
قذر	نَظُفَ
قذر	نَقِيَ
قذر	طَهُرَ
قذارة	نَظَافَة
قذارة	طَهَارَة
مرهب	مُرَغِّب
هزل	جَدَّ
مئناث	مِذْكَار
تذاكى	تَغَابَى
مذكار	مِئْنَاث
بغض	حُبّ
شبع	satiated
شبع	جَاعَ
شبع	full
شقي	سَعِيد
تقارب	تَبَاعَدَ
خفى	ظَهَرَ
خفى	بَدَا
سترجة	دَبْلَجَة
نجاسة	طَهَارَة
تخصيص	تَعْمِيم
تعميم	تَخْصِيص
تباعد	تَقَارَبَ
متغير	ثَابِت
بعدئذ	قَبْلَئِذٍ
قبلئذ	بَعْدَئِذٍ
ترغيب	تَرْهِيب
ضحل	عَمِيق
